category,label,text,language
investment_scam,scam,Part-time job offer from Amazon. Earn up to Rs.3000/day. Message HR on WhatsApp: +91-7397356034,en
benign,safe,YOUR UBER TRIP HAS ENDED. TOTAL FARE: RS.2000.,en
benign,safe,Meeting pushed to 7:45 PM. Please check the updated invite.,en
benign,safe,WiFi bill generated for March. Amount due Rs.500. Pay by 15th.,en
upi_fraud,scam,Your Paytm KYC details are incomplete. Your wallet will be blocked. Call +91-8426165987 to update.,en
phishing,scam,Jio Winner! You have been selected for a free gift worth Rs.10000. Claim: http://secure.flipkart-verify-account-info.com,en
upi_fraud,scam,Customer Service: Please share the 6-digit OTP to process your refund of Rs.9999 via UPI.,en
benign,safe,Meeting pushed to 10:00 AM. Please check the updated invite.,en
upi_fraud,scam,Your Paytm KYC details are incomplete. Your wallet will be blocked. Call +91-8906855372 to update.,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 758580.,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
benign,safe,"Salary of Rs.49999 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
phishing,scam,Your Netflix subscription has expired. Renew immediately at http://secure.jio-claim-reward-now.net to continue watching.,en
upi_fraud,scam,Aapke UPI par Rs.49999 bhej diye gaye hain. Confirm karne ke liye apna PIN dalein.,hi
phishing,scam,URGENT: Your ICICI account KYC has expired. Update immediately at http://www.jio-refund-processing.online to avoid suspension.,en
upi_fraud,scam,You have received a payment of INR 10000 on PhonePe. Enter your UPI pin to claim the amount.,en
benign,safe,Your Uber trip has ended. Total fare: Rs.100.,en
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 201576.,en
phishing,scam,URGENT: Your Kotak account KYC has expired. Update immediately at http://secure.airtel-verify-account-info.com to avoid suspension.,en
phishing,scam,"Dear customer, your PAN card is not linked to your Bank of Baroda account. Link now: http://flipkart-claim-reward-now.net",en
benign,safe,Meeting pushed to 10:00 AM. Please check the updated invite.,en
phishing,scam,"Dear Policyholder, your LIC premium is due. Pay Rs.9999 online using http://www.tata-verify-account-info.com and get 10% cashback.",en
benign,safe,WiFi bill generated for March. Amount due Rs.1500. Pay by 15th.,en
benign,safe,Meeting pushed to 4:15 PM. Please check the updated invite.,en
benign,safe,Flight delayed by 45 minutes due to bad weather at destination.,en
phishing,scam,Your SBI internet banking access will be locked in 24 hrs. Verify your identity at http://amazon-update-kyc.in,en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
benign,safe,Can you send me the presentation file before EOD?,en
phishing,scam,Your Punjab National Bank internet banking access will be locked in 24 hrs. Verify your identity at http://amazon-verify-account-info.com,en
benign,safe,Thanks for shopping with Myntra! Your order will be delivered by Thursday.,en
upi_fraud,scam,"Dear Sir/Madam, your UPI transaction of Rs.49999 failed. Scan the QR code sent on your WhatsApp to process refund.",en
phishing,scam,Tata Winner! You have been selected for a free gift worth INR 49999. Claim: http://reliance-verify-account-info.com,en
benign,safe,Your Uber trip has ended. Total fare: Rs.999.,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.10000. Claim it here: http://secure.amazon-secure-login.xyz,en
investment_scam,scam,Work from home opportunity! Earn Rs.5000 daily by liking YouTube videos. Deposit Rs.2000 security fee.,en
phishing,scam,"Dear customer, your PAN card is not linked to your Canara Bank account. Link now: http://airtel-official-portal.co",en
benign,safe,OTP for login to your HDFC account is 950958. Do not share this with anyone.,en
benign,safe,FLIGHT DELAYED BY 45 MINUTES DUE TO BAD WEATHER AT DESTINATION.,en
benign,safe,Happy Birthday! Have a wonderful year ahead. Let's catch up soon.,en
investment_scam,scam,You have been chosen for an exclusive Forex trading group. Deposit Rs.49999 and our AI will trade for you. http://paytm-verify-account-info.com,en
phishing,scam,Your SBI internet banking access will be locked in 24 hrs. Verify your identity at http://paytm-official-portal.co,en
benign,safe,Your Uber trip has ended. Total fare: Rs.500.,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.5000. Claim it here: http://www.flipkart-secure-login.xyz,en
upi_fraud,scam,Congratulations! You won Rs.5000 cashback on Google Pay. Click here and enter PIN to receive: http://paytm-secure-login.xyz,en
benign,safe,Your Swiggy order #45829 is on the way. Delivery executive will be there in 15 mins.,en
phishing,scam,"Dear Policyholder, your LIC premium is due. Pay Rs.50000 online using http://tata-official-portal.co and get 10% cashback.",en
benign,safe,"Salary of Rs.9999 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
phishing,scam,Action Required: Complete your Punjab National Bank Aadhaar linking process today via http://secure.flipkart-secure-login.xyz,en
benign,safe,OTP FOR LOGIN TO YOUR HDFC ACCOUNT IS 612899. DO NOT SHARE THIS WITH ANYONE.,en
phishing,scam,"Dear Union Bank customer, 15,000 reward points are expiring today. Redeem for cash at http://jio-verify-account-info.com",en
investment_scam,scam,BINANCE VIP TRADING SIGNALS. 99% ACCURACY. PAY MONTHLY FEE OF RS.25000 FOR ACCESS.,en
benign,safe,Thanks for shopping with Myntra! Your order will be delivered by Thursday.,en
benign,safe,Boarding pass for Air India flight AI452 is attached. Safe travels!,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.50000. Claim it here: http://secure.amazon-claim-reward-now.net,en
upi_fraud,scam,Aapke UPI par Rs.50000 bhej diye gaye hain. Confirm karne ke liye apna PIN dalein.,hi
investment_scam,scam,Part-time job offer from Amazon. Earn up to Rs.3000/day. Message HR on WhatsApp: +91-7055098110,en
upi_fraud,scam,Customer Service: Please share the 6-digit OTP to process your refund of Rs.50000 via UPI.,en
benign,safe,Reminder: Doctor appointment scheduled for tomorrow at 7:45 PM. Please arrive 10 minutes early.,en
benign,safe,Did you watch the match yesterday? What a crazy finish!,en
phishing,scam,"Dear Policyholder, your LIC premium is due. Pay Rs.50000 online using http://www.flipkart-official-portal.co and get 10% cashback.",en
upi_fraud,scam,Reliance Jio: Your number has been selected for 1-year free recharge. Pay Rs.10 activation fee via UPI: 8591095395@ybl,en
upi_fraud,scam,Congratulations! You won Rs.10000 cashback on Google Pay. Click here and enter PIN to receive: http://www.amazon-claim-reward-now.net,en
phishing,scam,Your Canara Bank internet banking access will be locked in 24 hrs. Verify your identity at http://www.flipkart-refund-processing.online,en
benign,safe,"Salary of Rs.50000 credited to your account XX4521 on 01-Mar-2026. Avail Bal: Rs.1,45,200.",en
investment_scam,scam,Binance VIP Trading Signals. 99% accuracy. Pay monthly fee of Rs.10000 for access.,en
benign,safe,Your Amazon package is out for delivery. OTP to share with agent is 827764.,en
benign,safe,Your Uber trip has ended. Total fare: Rs.500.,en
investment_scam,scam,"Make Rs.50,000 per month with simple data entry. Zero investment plan requires Rs.250 registration. http://www.airtel-official-portal.co",en
upi_fraud,scam,You have received a payment of Rs.50000 on PhonePe. Enter your UPI pin to claim the amount.,en
phishing,scam,Income Tax Notice: You have a pending refund of Rs.5000. Claim it here: http://jio-verify-account-info.com,en
